name,address,categories,Block,matched_address,matched_name,licence_description
Panozzo's Italian Market,1303 s michigan ave ,"Event Planning & Services, Caterers, Restaurants, Delis, Sandwiches, METADATA",013xx s michigan ave,1303 S MICHIGAN AVE 1,PANOZZO'S ITALIAN SPECIALTIES,Package Goods
Panozzo's Italian Market,1303 s michigan ave ,"Event Planning & Services, Caterers, Restaurants, Delis, Sandwiches, METADATA",013xx s michigan ave,1303 S MICHIGAN AVE 1,PANOZZO'S ITALIAN SPECIALTIES,Retail Food Establishment
Shark's Fish & Chicken,420 s clark st ,"Restaurants, Seafood, METADATA",004xx s clark st,420 S CLARK ST,SHARK'S FISH & CHICKEN,Retail Food Establishment
Wow Bow,225 n michigan ave ,"Restaurants, Asian Fusion, METADATA",002xx n michigan ave,225 N MICHIGAN AVE 1ST,WOW BAO,Retail Food Establishment
Bacci Pizzeria,105 w madison st ,"Restaurants, Pizza, METADATA",001xx w madison st,105 W MADISON ST LOWER LEVEL 109B,BACCI PIZZA,Retail Food Establishment
Micky's Chicken & Fish,408 s clark st ,"Restaurants, Seafood, Chicken Wings, METADATA",004xx s clark st,408 S CLARK ST,MICKEY'S CHICKEN,Retail Food Establishment
Micky's Chicken & Fish,408 s clark st ,"Restaurants, Seafood, Chicken Wings, METADATA",004xx s clark st,408 S CLARK ST,MICKY'S CHICKEN,Retail Food Establishment
Micky's Chicken & Fish,408 s clark st ,"Restaurants, Seafood, Chicken Wings, METADATA",004xx s clark st,408 S CLARK ST 1,Micky's Chicken & Fish,Retail Food Establishment
Pastoral,53 e lake st ,"Food, Specialty Food, Cheese Shops, Restaurants, Delis, METADATA",000xx e lake st,53 E LAKE ST 1,PASTORAL,Package Goods
Pastoral,53 e lake st ,"Food, Specialty Food, Cheese Shops, Restaurants, Delis, METADATA",000xx e lake st,53 E LAKE ST 1,PASTORAL,Retail Food Establishment
Taza,176 n franklin st ,"Restaurants, Middle Eastern, Mediterranean, METADATA",001xx n franklin st,176 N FRANKLIN ST,TAZA,Retail Food Establishment
Subway,166 w washington st ,"Restaurants, Sandwiches, Fast Food, METADATA",001xx w washington st,166 W WASHINGTON ST,SUBWAY,Retail Food Establishment
I Dream Of Falafel,331 s franklin st ,"Restaurants, Middle Eastern, Vegan, Mediterranean, METADATA",003xx s franklin st,331 S FRANKLIN ST 1ST,I DREAM OF FALAFEL,Retail Food Establishment
I Dream Of Falafel,331 s franklin st ,"Restaurants, Middle Eastern, Vegan, Mediterranean, METADATA",003xx s franklin st,331-333 S FRANKLIN ST 1,I DREAM OF FALAFEL,Retail Food Establishment
Cardozo's Pub,170 w washington st ,"Restaurants, Italian, Nightlife, Bars, Pubs, METADATA",001xx w washington st,170 W WASHINGTON ST  BASEMENT,CARDOZO'S PUB,Consumption on Premises - Incidental Activity
Cardozo's Pub,170 w washington st ,"Restaurants, Italian, Nightlife, Bars, Pubs, METADATA",001xx w washington st,170 W WASHINGTON ST  BASEMENT,CARDOZO'S PUB,Retail Food Establishment
Cardozo's Pub,170 w washington st ,"Restaurants, Italian, Nightlife, Bars, Pubs, METADATA",001xx w washington st,170 W WASHINGTON ST  BASEMENT,CARDOZO'S PUB,"Tobacco Vending, Individual"
Robinson's No 1 Ribs,225 s canal st ,"Restaurants, Barbeque, Food, Food Delivery Services, METADATA",002xx s canal st,225 S CANAL ST,ROBINSON'S #1 RIB,Retail Food Establishment
Robinson's No 1 Ribs,225 s canal st ,"Restaurants, Barbeque, Food, Food Delivery Services, METADATA",002xx s canal st,225 S CANAL ST,ROBINSON'S NO. 1 RIBS,Special Event Food
Robinson's No 1 Ribs,225 s canal st ,"Restaurants, Barbeque, Food, Food Delivery Services, METADATA",002xx s canal st,225 S CANAL ST,Robinson's #1 Rib Inc.,Special Event Food
Robinson's No 1 Ribs,225 s canal st ,"Restaurants, Barbeque, Food, Food Delivery Services, METADATA",002xx s canal st,225 S CANAL ST,Robinson's #1 Ribs,Special Event Food
Trattoria No. 10,10 n dearborn st ,"Restaurants, Italian, METADATA",000xx n dearborn st,10 N DEARBORN ST,TRATTORIA #10,Limited Business License
Trattoria No. 10,10 n dearborn st ,"Restaurants, Italian, METADATA",000xx n dearborn st,10 N DEARBORN ST,TRATTORIA #10,Retail Food Establishment
Trattoria No. 10,10 n dearborn st ,"Restaurants, Italian, METADATA",000xx n dearborn st,10 N DEARBORN ST,TRATTORIA #10,Tavern
Subway,66 e washington st ,"Restaurants, Sandwiches, METADATA",000xx e washington st,166 W WASHINGTON ST,SUBWAY,Retail Food Establishment
Subway,66 e washington st ,"Restaurants, Sandwiches, METADATA",000xx e washington st,66 E WASHINGTON ST,SUBWAY,Retail Food Establishment
Chicago Curry House,899 s plymouth ,"Restaurants, Indian, Himalayan/Nepalese, METADATA",008xx s plymouth,899 S PLYMOUTH CT 1ST G2,CHICAGO CURRY HOUSE,Consumption on Premises - Incidental Activity
Chicago Curry House,899 s plymouth ,"Restaurants, Indian, Himalayan/Nepalese, METADATA",008xx s plymouth,899 S PLYMOUTH CT 1ST G2,CHICAGO CURRY HOUSE,Retail Food Establishment
Subway,120 w madison st ,"Restaurants, Sandwiches, METADATA",001xx w madison st,120 W MADISON ST,SUBWAY,Retail Food Establishment
Subway,219 w jackson blvd ,"Restaurants, Sandwiches, METADATA",002xx w jackson blvd,219 W JACKSON BLVD,SUBWAY,Retail Food Establishment
au bon pain,122 s michigan ave ,"Food, Bakeries, Restaurants, Sandwiches, METADATA",001xx s michigan ave,122 S MICHIGAN AVE,AU BON PAIN,Retail Food Establishment
au bon pain,122 s michigan ave ,"Food, Bakeries, Restaurants, Sandwiches, METADATA",001xx s michigan ave,122 S MICHIGAN AVE 1 1,AU BON PAIN,Retail Food Establishment
The Metropolitan Club,233 s wacker dr ,"Restaurants, American (New), Event Planning & Services, Venues & Event Spaces, METADATA",002xx s wacker dr,233 S WACKER DR 50TH,THE METROPOLITAN FITNESS CLUB,Limited Business License
Flavor 180,1511 s state ,"Restaurants, Fast Food, Seafood, Burgers, METADATA",015xx s state,1511 S STATE ST 1ST,FLAVOR 180,Consumption on Premises - Incidental Activity
Flavor 180,1511 s state ,"Restaurants, Fast Food, Seafood, Burgers, METADATA",015xx s state,1511 S STATE ST 1ST,FLAVOR 180,Mobile Food Dispenser
Flavor 180,1511 s state ,"Restaurants, Fast Food, Seafood, Burgers, METADATA",015xx s state,1511 S STATE ST 1ST,FLAVOR 180,Mobile Food License
