restaurantID,rating_y,average sentiments
38gt6s_jrOlnjHhHAODXXA,4.0,negative
3BKnY2wzy4QM20Fr1nqDsg,3.984848484848485,positive
3DvrpXBRJYZZyMUDYj6Gww,3.6666666666666665,positive
3EUX286ckiX2g6ig8GFZAQ,4.0,negative
3EZJnLh_kOKvNCQg21I_4g,3.0,positive
3FLqwlT1dbA3Djw3rEGp6g,3.5,negative
3FSFRihADufwF4ZmJ5V4eA,1.0,positive
3GXFsq9rJZUWXOJCQf-dIQ,3.7857142857142856,positive
3JKpC8NVEwehiYEP5PZUyw,4.909090909090909,positive
3JVf9XaeovtphmXICKP4UQ,5.0,negative
3NHRKPfkUbG3FNfcXt8gqQ,3.0,negative
3NV7hlKcTm5be625ylnyBA,3.5,positive
3NnjTih2DgDo3mMD12buwQ,5.0,negative
3PStSuAE5GwXl9Av_vBSOg,2.0,negative
3Sm8sZ0FrFQpbu9Eft1ROA,3.7857142857142856,positive
3TO5TOt6EA3CJIRFDaIZTg,2.0,negative
3Tb7nFDCO63gbQK5pm0Mag,1.0,negative
3V-LqgL1Pmo8597Pan1uaw,5.0,negative
3bYTS6ormbI2NzamGvLwaw,1.0,negative
3hzb9Oy0i9JgrQtqZpG4Ag,3.875,positive
3nL7nX2vtyN37-jmy22z9A,4.6,positive
3nLRQuRKpCOj6zwp6WHtAw,5.0,positive
3pL7x-7C29VUffLDDwOt8g,3.333333333333333,positive
3tvOLEEu7neQAA3DzHcsQA,3.5,positive
3uExHbBEstd2EFZE0rqP2Q,1.5,negative
3vayzHh-KhCoj0y0xtsiEg,5.0,positive
3zFnA3zUZGhM7uO72svYFg,4.3,positive
3znBF55psLGRk7RFkRVtGA,5.0,negative
40Mpc35KZzsl9ZhUqYG8xA,5.0,positive
42RURnmGeBKdfop0i4lEyw,4.0,positive
42fKxghGjTmoBaTsX0OiFg,3.4166666666666665,positive
47CFeWqm4WxQZVKWNdLxbw,3.25,positive
4AGNyl3PSTJDndUvkHu6WQ,4.333333333333333,positive
4DRO4odzVxEt6NbU352p8g,5.0,positive
4DcXRZLvvN-VQiPK0hEBgQ,5.0,positive
4FMK_dt30oLQDNOsx6R2Rw,4.0,positive
4GFZJzbt6Ah15RL6GBDx0w,4.5,negative
4HHIt4OVTMiBKx2nVrZZig,2.5,negative
4Hfzfkgp7Q3-XhqVK_9Eng,4.666666666666667,positive
4JUhaXWC1IcUFcA_tOVYuA,3.0,positive
4OVgBtwrqKexJad6axdErA,1.0,negative
4SLcA-_yv--GUAPctexFbQ,1.0,negative
4SmEprZO0coUzo2HDM6KXg,3.0,positive
4Tf587qzzP8iY43MYXQYWQ,3.0,negative
4UQ18B7HZDKrRNUeE7LLKg,3.1875,positive
4VyzVcgkwRSCoatWZraTJw,5.0,positive
4bn_9znR6PX7UUjltzKOlw,2.0,negative
4c0Pa0UIfWbFZVSIuYYtqg,5.0,positive
4fThwu5WLrejpf9KsDzmoQ,2.9,negative
4h1nvAGJRcBZz4ZHnf9UkQ,5.0,positive
4h9EmFR-BYdjK1S73Xo6ZQ,1.0,negative
4hEWyzVZ4gKdAoBpsd7Rrw,3.1046511627906983,positive
4hIXfj2MU4sDG3E8yNpJsQ,4.0,negative
4iI6yIoeJhjiVuaZv4ZHmA,4.6923076923076925,positive
4jaALpR4I29-SIZ5C1o_5A,3.8,positive
4k8-O7_KsCZ4I8ltrmeszg,5.0,positive
4lT8Sh13Gze4YzqrjMeieA,1.0,negative
4nmenZEQhryWEGJFt8iKRA,3.0,negative
4o1N_CMDR_jdomMKIGCGxQ,2.0,negative
4ogd5u2JhzgJvsF7TK_CNQ,5.0,negative
4qEixHIdVQmnQVtxEErOxw,5.0,positive
4sTaiQruMMJ_AdpGkxNTIQ,5.0,positive
4snGc57G79_goGso7YL9Zw,2.0,negative
4t55Sb9C0lnsCyuZhjcP0A,3.125,positive
4uN9zJtVKf5BfUt1_vS-ZA,3.0,negative
4wiZUhxmC7W6RHKCY2p6gQ,5.0,positive
4xh2rWLpr9aOW9I8YN4-vQ,5.0,positive
4yihQrVTYRRuRAA4-joVeQ,2.5,negative
5-0yv3wd_8uKZbqdfDlkzw,4.0,positive
52UFHEOg1nuRdHCHZ7zwyA,4.5,negative
57PyRW-iahNX_Ur8icAfxg,3.8,positive
5AHqFPtBw34pUsfq0eiUNA,4.0,positive
5AWyi5ROooZiljEt4wc-cQ,4.0,positive
5AfHTvp-T9JwHBJ1gupJ2A,3.0,negative
5GT0My-tk3Lh1YvYY_cTBw,1.5,negative
5Gx4M2rRQ9wIhw66gNnxzw,3.1538461538461537,positive
5IL7unC2D3G8X7vaIfjfDA,5.0,positive
