Year,Business Type,Business Name,address,Has Tobacco License,Has Liquor License,Crime Type,#Crimes,#Arrests,#On Premises
2001,Restaurant,Harry's Sandwich Shop,336 s dearborn st ,False,False,THEFT,1492,262,7
2001,Restaurant,Custom House Tavern,500 s dearborn st ,False,True,BATTERY,1468,402,2
2001,Restaurant,Potbelly's Sandwich Works,542 s dearborn st ,False,False,BATTERY,1468,402,2
2001,Restaurant,Protein Bar,221 w washington st ,False,False,THEFT,1462,273,6
2001,Restaurant,Med Kitchen,219 w washington st ,False,False,THEFT,1462,273,6
2001,Restaurant,Rosie's Cafe & Catering,111 n canal st ,False,False,BATTERY,1461,425,3
2001,Restaurant,Potbelly Sandwich Works,303 w madison st ,False,False,THEFT,1457,301,4
2001,Restaurant,Indian Express,120 n wells st ,False,False,THEFT,1446,270,14
2001,Restaurant,Off the Tracks Grill,190 n wells st ,False,False,THEFT,1446,270,14
2001,Restaurant,Sixty Five Chinese Restaurants,176 n wells st ,False,False,THEFT,1446,270,14
2001,Restaurant,Bombay Wraps,122 n wells st ,False,False,THEFT,1446,270,14
2001,Restaurant,Curried Loop,171 n wells st ,False,False,THEFT,1446,270,14
2001,Restaurant,Pierogi Heaven,169 n wells st ,False,False,THEFT,1446,270,14
2001,Grocery,Bockwinkel's,222 n columbus dr ,True,False,BATTERY,1426,456,3
2001,Restaurant,Trattoria Caterina,616 s dearborn st ,False,False,BATTERY,1416,383,2
2001,Restaurant,Standing Room Only,610 s dearborn st ,False,False,BATTERY,1416,383,2
2001,Restaurant,Amarit Thai Restaurant,600 s dearborn st ,False,False,BATTERY,1416,383,2
2001,Restaurant,Taste of Siam Inc,600 s dearborn st ,False,False,BATTERY,1416,383,2
2001,Restaurant,Palm Restaurant,323 e wacker dr ,True,False,THEFT,1408,165,5
2001,Restaurant,Americana Submarine,400 s clark st ,True,False,NARCOTICS,1401,2510,1
2001,Restaurant,Coco's Famous Deep Fried Lobster,426 s clark st ,False,False,NARCOTICS,1401,2510,1
